N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
189,다우기술,"25,700",200,+0.78%,500,"11,531","44,867",22.24,"374,698",4.13,14.62,
190,JB금융지주,"5,850",0,0.00%,"5,000","11,523","196,983",39.68,"257,366",3.33,10.36,
191,금호타이어,"4,010",10,+0.25%,"5,000","11,519","287,260",5.27,"447,552",-11.49,-3.30,
192,에스엘,"23,300",250,-1.06%,500,"11,231","48,203",14.80,"355,260",25.03,7.25,
193,더블유게임즈,"60,200",500,-0.82%,500,"11,061","18,375",13.77,"110,680",10.32,18.93,
194,롯데칠성,"123,000","1,000",-0.81%,500,"11,039","8,975",10.31,"30,441",-12.61,-11.68,
195,코스맥스,"109,000","4,000",-3.54%,500,"10,954","10,050",24.69,"292,130",26.98,10.45,
196,대한전선,"1,270",15,-1.17%,500,"10,877","856,473",2.02,"7,581,299",-70.56,-3.99,
197,아시아나항공,"14,600",100,-0.68%,"5,000","10,864","74,412",19.89,"545,561",-1.26,-90.67,
198,KODEX 2차전지산업,"20,450",160,+0.79%,0,"10,695","52,300",0.00,"3,955,672",N/A,N/A,
199,영풍,"573,000","1,000",+0.17%,"5,000","10,555","1,842",4.71,"3,816",5.69,7.40,
200,LG상사,"27,200",150,+0.55%,"5,000","10,543","38,760",24.09,"224,823",7.41,2.49,
